PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
11,4/14/23,4:15:01 PM,2,2,Jason White,whiteja85,Right,Duke,Travis Honeyman,honeytr42,Right,Boston college,,1,Bottom,1,0,1,Fastball,,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,204e300b-ae39-4ca8-a5f5-53cea37ca543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
12,4/14/23,4:15:22 PM,2,3,Jason White,whiteja85,Right,Duke,Travis Honeyman,honeytr42,Right,Boston college,,1,Bottom,1,0,2,Curveball,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,d6f30bee-dcb4-46ae-b9f5-96fe1462f26a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
13,4/14/23,4:15:36 PM,2,4,Jason White,whiteja85,Right,Duke,Travis Honeyman,honeytr42,Right,Boston college,,1,Bottom,1,1,2,Fastball,,Foul,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,54d49c45-32b3-4b5c-b0a1-6d59c3f05c78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
14,4/14/23,4:15:58 PM,2,5,Jason White,whiteja85,Right,Duke,Joe Vetrano,vetrajo42,Left,Boston college,,1,Bottom,1,1,2,Slider,,InPlay,,FlyBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,ab266e68-ddba-4969-8ef0-4b917d80d581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
15,4/14/23,4:16:24 PM,3,1,Jason White,whiteja85,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,1,Bottom,2,0,0,Fastball,,InPlay,,GroundBall,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,24463864-87a4-4307-8564-17a8ae5c1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
16,4/14/23,4:16:57 PM,4,1,Jason White,whiteja85,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,1,Bottom,2,0,0,Slider,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,aa312f60-1a30-4934-8673-5ab9e8ac8bef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
17,4/14/23,4:17:11 PM,4,2,Jason White,whiteja85,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,1,Bottom,2,1,0,Sinker,,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,9281fe6b-737b-4cee-9e38-54cd620cd015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
18,4/14/23,4:17:26 PM,4,3,Jason White,whiteja85,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,1,Bottom,2,1,1,Fastball,,Foul,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,edd39bd7-4b36-4bdf-a685-a92980b84318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
19,4/14/23,4:17:46 PM,4,4,Jason White,whiteja85,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,1,Bottom,2,1,2,Fastball,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,b2de6122-66d5-40ee-a596-19288819f381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
20,4/14/23,4:18:07 PM,4,5,Jason White,whiteja85,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,1,Bottom,2,2,2,Fastball,,Foul,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,50fe26d5-974a-47e5-ae68-2a6f84501831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
