PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
95,4/14/23,4:57:09 PM,3,5,Henry Leake,leakehe42,Right,Boston college,Alex Mooney,mooneal43,Right,Duke,,4,Top,1,1,2,Slider,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,75.53729784,-1.945917492,-2.574886473,,,,5.016615623,0.356786883,6,,,,1.852225918,0.198739177,70.53033614,-8.402902034,0.528750342,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,11ba11c3-d63b-4982-b556-0862d953cb9b,75.65065393,5.010725825,0.356786883,-1.873888503,-2.574886473,70.62109398,1.857549665,0.198739177,-8.322667953,0.528750342,0.496359199,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,54.66,Peter Burns,burnspe42,Boston college
96,4/14/23,4:57:36 PM,4,1,Henry Leake,leakehe42,Right,Boston college,Alex Mooney,mooneal43,Right,Duke,,4,Top,2,0,0,Slider,,StrikeCalled,,,,0,0,,77.00871218,-1.088958431,1.901792385,2053.900515,262.2974788,2:45,5.178062286,1.3029126,6,-43.84911347,4.229269667,14.00255451,2.087165638,1.192698086,69.90940867,-8.506888221,1.919308486,0.49592612,,,,,,,,,,,,-7.017307158,2.902035835,-1.46585174,50,5.064554486,-4.112886341,-111.9436134,-3.329314475,-8.810965701,22.18922134,-28.53023899,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,e97af0fe-776a-4532-8cf7-3b1aed362e85,77.13028336,5.171865469,1.305148776,-1.012839743,1.874260043,69.99677822,2.093049666,1.190786282,-8.417176955,1.889519706,0.495790216,14.25861458,1.609489098,46.43848739,59.83464928,1415.410488,1488.328081,68.91329338,-0.092364343,0.724634942,-0.682915096,,,,,,,,,,,,,,,,,0.991637095,0,,,high,high,36.14881565,-70.29877875,54.66,Peter Burns,burnspe42,Boston college
97,4/14/23,4:57:52 PM,1,1,Henry Leake,leakehe42,Right,Boston college,Alex Mooney,mooneal43,Right,Duke,,4,Bottom,0,0,0,Slider,,StrikeSwinging,,,,0,0,,75.15774363,-2.618036387,-0.660874427,2095.123821,263.3141157,2:45,4.828515794,0.709310087,6,-46.37117469,3.438265782,12.63308923,0.99130873,-0.636907081,68.93058519,-9.623044458,0.323966276,0.507649831,,,,,,,,,,,,-7.21349095,2.834573028,-0.663151462,50,4.588596401,0.902553291,-109.2339924,-6.257751635,-8.650116654,20.59288761,-28.77494816,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,f8c7607d-6fcf-41fd-880d-e32f16043a4c,75.26547374,4.821563696,0.710284299,-2.532476048,-0.672679614,69.00877994,0.997691587,-0.63776134,-9.526683876,0.310504413,0.507521819,12.72312483,0.780052496,56.79675067,27.45690517,1147.312158,1753.059793,54.76106694,-0.063756147,0.836733264,-0.543886568,,,,,,,,,,,,,,,,,0.916874964,0,,,high,high,65.28878534,-57.06378941,54.66,,,
98,4/14/23,4:58:10 PM,1,1,Henry Leake,leakehe42,Right,Boston college,Andrew Fischer,fischan44,Left,Duke,,4,Bottom,0,0,0,Slider,,StrikeSwinging,,,StrikeoutSwinging,1,0,,75.01448383,-2.934305122,-1.643445601,,,,4.830239543,0.583486896,6,,,,0.631750032,-0.448065147,69.29082014,-10.22728059,-0.24137049,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,4ffa9f35-5f22-4f8e-95d5-22a26640011a,75.12329579,4.824309996,0.583486896,-2.861380326,-1.643445601,69.37308459,0.637252079,-0.448065147,-10.14461749,-0.24137049,0.507814582,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,54.66,,,
99,4/14/23,5:00:30 PM,1,1,Jason White,whiteja85,Right,Duke,Joe Vetrano,vetrajo42,Left,Boston college,,4,Bottom,0,0,0,Curveball,,InPlay,,LineDrive,Single,0,0,,77.37124627,-1.225058329,-0.656879061,2039.413421,68.63744832,8:15,4.888813005,1.296244373,6,-45.15698958,1.840819244,-3.103985367,1.851910967,-0.242262455,70.90429644,-8.35063235,-1.003692289,0.493412704,102.1063431,7.115010405,-6.582661001,904.743957,,,,177.8112954,,-4.493284899,1.384836189,1.553666493,0.967690325,-0.370587363,50,5.5174902,0.909423757,-112.0969703,-1.11649886,1.975433785,20.40347487,-30.94366445,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,7e453a19-283d-4859-b56b-92a6be9ba9c8,77.48006387,4.882640523,1.299989387,-1.14965687,-0.703640438,70.98545439,1.857546836,-0.245311805,-8.265008007,-1.050028586,0.493300929,-2.605684749,-0.38347796,-86.07976751,15.49439265,139.4297578,-2034.641601,6.836757885,0.024904133,-0.9976602,0.063670323,-11.61498169,100.6521232,12.64703916,0.206056069,2.908915992,2.073970499,-13.930138,177.2647964,3.865696801,18.46507472,0.163202197,0.524519106,0.23245563,-0.819050724,,,0.995803656,0,0.96137805,62.09303462,high,high,76.05504662,33.3237009,54.66,Alex Stone,stoneal45,Duke
100,4/14/23,5:01:21 PM,2,1,Jason White,whiteja85,Right,Duke,Joe Vetrano,vetrajo42,Left,Boston college,,4,Bottom,0,0,0,Changeup,,BallCalled,,,,0,0,,77.74808369,-3.607452416,-1.544445114,1627.290989,236.4695319,2:00,4.470494131,0.736963825,6,-36.72938686,9.72383882,10.27127751,-1.948247529,0.157347167,71.62412765,-10.41755357,0.39050085,0.490545686,,,,,,,,,,,,-5.981353548,6.284679056,-0.61733459,50,4.155088913,2.751158625,-112.8873931,-8.165674779,-7.688296544,21.29980101,-24.0958653,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,e8a900d1-2865-451b-b41d-3934615d2719,77.89250081,4.466975892,0.741127505,-3.564633483,-1.596296673,71.7498891,-1.943813569,0.153051267,-10.35876011,0.332624326,0.490389745,10.74840723,7.721072362,-29.22582,87.0179146,1420.140321,-794.5296923,87.27021354,-0.482063504,-0.488252991,-0.727477694,,,,,,,,,,,,,,,,,0.612115339,0,,,high,medium,11.68387686,39.39090091,54.66,Alex Stone,stoneal45,Duke
101,4/14/23,5:02:21 PM,2,2,Jason White,whiteja85,Right,Duke,Joe Vetrano,vetrajo42,Left,Boston college,,4,Bottom,0,1,0,Changeup,,BallCalled,,,,0,0,,75.73256745,-1.214889857,-0.148005852,1352.764679,230.1687302,1:45,5.832868496,0.758340676,6,-38.7295892,10.03845834,8.857761619,1.47626709,1.358949593,69.51573055,-8.449117176,1.520934616,0.502619353,,,,,,,,,,,,-4.816311769,5.762344697,-0.751488207,50,5.711371709,0.03846959,-110.1913018,-3.413213161,-5.896387879,20.36288365,-25.11947732,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,996d4b8c-0d03-46cf-a130-cfe277589a0e,75.88786417,5.828822789,0.762125222,-1.166766999,-0.194054763,69.63554129,1.480172369,1.355963026,-8.389768052,1.475173351,0.502461733,9.290016119,7.853247534,-23.90505905,72.50596408,1236.722059,-548.1704343,91.42181773,-0.585583166,-0.405222315,-0.702059279,,,,,,,,,,,,,,,,,0.783969407,0,,,medium,high,24.74463233,-85.30644101,54.66,Alex Stone,stoneal45,Duke
102,4/14/23,5:02:48 PM,2,3,Jason White,whiteja85,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,4,Bottom,0,2,0,Fastball,,InPlay,,GroundBall,Out,1,0,,86.96976756,-3.664842462,-1.115844862,2110.609499,216.387515,1:15,4.376986445,0.830430261,6,-22.75644406,14.38782576,8.574125729,1.235825842,0.087646367,79.61325296,-6.517833082,0.533434898,0.438649294,110.8629541,3.762733617,26.45496675,,,,,112.6506027,,25.9696232,0.753763629,-4.946517545,8.824877197,-0.744681739,50,4.065136291,2.186711475,-126.2834808,-8.814651972,-7.949954454,26.85747308,-17.99086492,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,13742435-6871-4a2f-a85c-159d2e0c738b,87.14154521,4.376175929,0.833727443,-3.655503168,-1.156796951,79.76474113,1.236961559,0.084831265,-6.499933767,0.490117461,0.438502501,8.950500375,12.98044736,-22.79599473,92.41953059,1945.750292,-817.7580689,92.18902373,-0.742142925,-0.387451146,-0.546905375,49.28234714,99.03996083,7.275369754,-0.09838201,1.904634317,1.289132048,49.32908689,101.2758583,,,,,,,,,0.987237315,0,,65.97287793,high,high,6.822422465,-12.46344908,54.66,Alex Stone,stoneal45,Duke
103,4/14/23,5:06:51 PM,3,1,Charlie Beilenson,beilech42,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,4,Bottom,1,0,0,Changeup,,Foul,,,,0,0,,82.29735858,-2.861095343,-2.840050453,1707.805653,248.3268834,2:15,4.953811685,1.403841561,6,-34.07340616,7.451526727,13.35404466,1.256572977,-0.344830973,75.81130027,-8.640132204,-0.656476188,0.463794925,,,,,,,,,,,,-8.032444305,4.858017185,-1.180474426,50,4.700704058,5.524509063,-119.4651688,-7.003640577,-11.54593583,24.1700954,-25.19107497,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,6becd579-0d4a-4994-9c25-39807d1abf74,82.44225943,4.95017683,1.408241517,-2.816968944,-2.894280734,75.92940422,1.260068223,-0.348507944,-8.587031233,-0.712771746,0.463656668,13.85297718,5.563213397,-7.49064029,4.616186734,1693.23153,-222.6367713,99.14661705,-0.366159128,-0.130364231,-0.921375417,,,,,,,,,,,,,,,,,0.995930795,0,,,high,high,85.84543194,-27.58918468,54.66,Alex Stone,stoneal45,Duke
104,4/14/23,5:07:11 PM,3,2,Charlie Beilenson,beilech42,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,4,Bottom,1,0,1,Changeup,,Foul,,LineDrive,,0,0,,83.28236488,-3.229069415,-1.87728042,1121.63637,257.4829301,2:30,4.865413998,1.680906222,6,-36.41299985,4.063172671,10.13587133,1.197566065,0.630593651,76.59432323,-8.556521349,0.89307481,0.456172653,94.73570495,17.50491475,-42.85806478,,,,,255.9673945,,-42.53481333,2.413422447,-5.688760621,2.733535678,-0.645355597,50,5.727963038,1.802110299,-121.414632,-4.965354856,-8.454738333,24.74069117,-28.11141971,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,4b8abeae-1645-44f6-83ca-4a382f056289,83.4165331,4.860850784,1.683580422,-3.173168285,-1.910444337,76.70369467,1.201807824,0.628323122,-8.492190199,0.858134987,0.456049973,10.44028749,2.151718893,11.61730935,2.11863303,1098.659041,225.8682324,97.95144579,-0.212290627,0.201373848,-0.95623285,-61.4537228,66.22922424,28.49532597,-0.493094776,2.465448759,1.320595314,-173.0437003,188.6138512,,,,,,,,,0.930302909,0,,52.58154073,high,high,91.90676973,-42.4139143,54.66,Alex Stone,stoneal45,Duke
105,4/14/23,5:07:31 PM,3,3,Charlie Beilenson,beilech42,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,4,Bottom,1,0,2,Fastball,,Foul,,,,0,0,,93.66348157,-2.48361638,-2.413667238,2398.005016,218.7299685,1:15,4.967293263,1.385702728,6,-17.43163059,13.54628186,8.687374762,2.566440951,-1.202901844,86.67716019,-5.309700981,-2.180194216,0.407163918,,,,,,,,,,,,-5.413186736,8.03485985,-1.194387711,50,4.754197717,5.435414226,-136.0571739,-6.539244624,-10.0971117,31.2208001,-17.18678213,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,a6fa6485-959f-4af9-ac49-b0a8cf979564,93.84814652,4.967145516,1.389181463,-2.482358509,-2.456622523,86.83992899,2.566846058,-1.205716426,-5.302756999,-2.223820533,0.407029377,9.104872735,12.45705638,-32.86010422,75.97882232,2014.319124,-1301.132785,83.99978774,-0.65528509,-0.542589685,-0.525545322,,,,,,,,,,,,,,,,,0.991444889,0,,,high,high,21.61905991,-60.33402628,54.66,Alex Stone,stoneal45,Duke
106,4/14/23,5:07:51 PM,3,4,Charlie Beilenson,beilech42,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,4,Bottom,1,0,2,Fastball,,Foul,,,,0,0,,92.17367714,-3.274835084,-4.637658744,2311.86391,217.8915475,1:15,4.74996786,1.033592177,6,-17.96137755,12.82823697,7.747978987,2.15038447,-1.128986325,87.01076998,-5.720050175,-1.82919354,0.414678625,,,,,,,,,,,,-5.562538063,8.252670034,-0.660175357,50,4.470950206,10.56466039,-133.4975597,-8.325193358,-10.00758901,29.55933364,-17.3266312,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,9ba1df39-4d6d-4f9f-9f98-e8c8c1e11d28,92.35486505,4.749579125,1.03688739,-3.270512775,-4.678247835,87.17233707,2.150983795,-1.13164044,-5.710216848,-1.870004518,0.414544298,8.138191564,11.7339217,-37.43627819,85.96543537,1835.68903,-1405.332886,79.40298832,-0.626628293,-0.607878725,-0.487668369,,,,,,,,,,,,,,,,,0.99382697,0,,,high,high,12.63110817,1.923563834,54.66,Alex Stone,stoneal45,Duke
107,4/14/23,5:08:09 PM,3,5,Charlie Beilenson,beilech42,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,4,Bottom,1,0,2,Changeup,,BallCalled,,,,0,0,,84.16622544,-5.090341557,-2.348969249,,,,4.409753514,1.631038538,6,,,,-3.499227888,-0.55301534,78.13559883,-12.05302422,-2.348969249,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,b6fcf614-00d5-4976-9488-a6c2b2e7c3db,84.28726892,4.404984717,1.631038538,-5.032180077,-2.348969249,78.23804751,-3.493731549,-0.55301534,-11.98211714,-2.348969249,0.453341496,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,low,,,54.66,Alex Stone,stoneal45,Duke
108,4/14/23,5:08:29 PM,3,6,Charlie Beilenson,beilech42,Right,Duke,Cameron Leary,learyca42,Left,Boston college,,4,Bottom,1,1,2,Fastball,,InPlay,,GroundBall,Error,0,1,,93.87288572,-2.234902397,-1.191118028,2188.34477,215.5115811,1:15,5.056874127,1.698071148,6,-17.90739613,12.52573776,6.958284288,2.491985133,-0.098426001,87.519433,-5.86052096,-1.134677426,0.405825455,104.5181297,2.052394228,-11.04232018,1209.533121,,,,74.12058314,,-11.16790474,0.496662057,-4.185697506,7.426101545,-1.605350601,50,4.863723012,2.592514971,-136.481751,-5.989045861,-7.859981333,31.28528047,-18.22917673,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,4cffd5f6-08a5-4f9e-9e48-36376c2e7fef,94.05661847,5.056384966,1.701124128,-2.229464707,-1.228708951,87.68091878,2.492664881,-0.100867057,-5.849661298,-1.17187174,0.405690488,7.312947284,11.43469109,-37.06127423,77.96684471,1746.280409,-1318.84706,79.79914467,-0.649563541,-0.602668774,-0.463527297,-20.00593322,102.5172713,3.743147152,-0.056476807,2.878534707,2.599334382,-14.35603188,72.71702135,2.357919574,-14.86039434,-0.109774643,-0.922022996,-0.098358082,0.374431946,,,0.996931607,0,0.972945624,59.93409545,high,high,19.82983976,-89.48802777,54.66,Alex Stone,stoneal45,Duke
109,4/14/23,5:09:06 PM,1,1,Charlie Beilenson,beilech42,Right,Duke,Nick Wang,wang-ni42,Right,Boston college,,5,Top,0,0,0,Changeup,,InPlay,,FlyBall,Single,0,0,,82.8691774,-1.874037546,-1.205746499,1369.195393,253.9062685,2:30,5.028367992,1.933037992,6,-35.59071294,5.212328492,11.0752936,1.827903683,1.524404102,76.88946361,-8.075519808,1.333301942,0.459745821,90.29625733,23.79096095,-15.82001042,3397.100686,,,,319.4194842,,-27.60111506,3.928915973,-6.322482736,3.358220422,-1.841436265,50,4.855039757,2.199906943,-120.5046155,-5.024776782,-9.24943039,24.53183897,-27.26116531,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,fe2525cf-d50f-4fa9-802a-08b5a5bc98db,83.01260979,5.024346216,1.936842217,-1.824744308,-1.253063817,77.00675954,1.831701421,1.521227523,-8.017797951,1.284510347,0.459610366,11.51023731,3.306843013,-16.57450545,13.73851243,1312.304776,-390.5793104,95.84495998,-0.265691369,-0.285261923,-0.92088747,-22.52442453,79.49364986,36.42559565,-1.499109345,1.7288279,1.888559658,-147.9912895,283.0678101,-69.35961632,9.071141533,0.868281253,0.710681819,-0.093771008,0.697236222,,,0.99147432,0,0.99164069,50.9312425,high,high,77.63533882,-16.20779591,54.66,,,
110,4/14/23,5:09:48 PM,5,1,Charlie Beilenson,beilech42,Right,Duke,Nick Wang,wang-ni42,Right,Boston college,,4,Bottom,1,0,0,Curveball,,BallCalled,,,,0,0,,78.88574446,0.546094505,-0.540353989,2582.786196,68.48453353,8:15,5.633471916,2.33895295,6,-46.74168249,-2.511670109,-14.57413011,3.916281176,0.114002663,72.60181805,-6.867804622,-4.022488204,0.484256758,,,,,,,,,,,,7.945256057,-1.659257935,-2.286265987,50,5.649969535,1.514073814,-114.7298043,-0.286986758,10.45749731,23.70705303,-34.35795471,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,cf5c5057-94a7-4227-8033-c43239602602,78.98910455,5.624383856,2.337180486,0.658092495,-0.518784971,72.67383035,3.923943755,0.115569734,-6.751357957,-3.998120691,0.484150858,-14.77188228,-5.406131015,-48.00514079,30.31404517,1728.049058,-1919.539264,66.90639204,0.245380779,-0.743204864,0.62244261,,,,,,,,,,,,,,,,,0.994462349,0,,,high,high,62.71735934,54.57687164,54.66,Alex Stone,stoneal45,Duke
111,4/14/23,5:10:01 PM,5,2,Charlie Beilenson,beilech42,Right,Duke,Nick Wang,wang-ni42,Right,Boston college,,4,Bottom,1,1,0,Changeup,,StrikeCalled,,,,0,0,,83.88714116,-1.709163377,-1.827979083,1486.269288,244.5105497,2:15,5.204329007,1.654534,6,-32.18875787,7.175136637,10.42980525,2.149188945,0.010234709,77.19357232,-7.533423355,-0.290985514,0.454090468,,,,,,,,,,,,-6.182580387,4.353762434,-1.511949081,50,5.046095187,3.56998177,-121.9676585,-4.645609705,-9.273304312,24.94865086,-25.6438047,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,a38c4d2b-f09f-49a0-951d-4c73ba5b2699,84.03997198,5.201036577,1.658385321,-1.669150564,-1.875621923,77.31936023,2.152390571,0.007051084,-7.484236674,-0.340013912,0.453950862,10.89774945,5.41727755,-23.7701143,3.500038514,1360.189113,-599.0675867,91.51700327,-0.393838756,-0.403067998,-0.826091534,,,,,,,,,,,,,,,,,0.983061864,0,,,high,high,86.84996534,-3.72197866,54.66,Alex Stone,stoneal45,Duke
112,4/14/23,5:10:15 PM,5,3,Charlie Beilenson,beilech42,Right,Duke,Nick Wang,wang-ni42,Right,Boston college,,4,Bottom,1,1,1,Changeup,,BallCalled,,,,0,0,,83.5348245,-2.660163056,-2.13664059,1574.306028,241.9967936,2:00,6.203526681,0.878595698,6,-32.08765691,8.110726471,10.91083026,1.054042647,-0.198608443,76.5897658,-8.644082262,-0.081679576,0.456326633,,,,,,,,,,,,-6.49832544,5.141870132,-0.711125524,50,5.968075481,4.193680098,-121.3580642,-6.624816956,-9.652210791,24.64256107,-24.53663363,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,2cdb49f1-df72-4d5a-b8d4-fd6c471a5843,83.69345796,6.200197191,0.882796363,-2.620628865,-2.187565733,76.71455385,1.057218436,-0.201948537,-8.596081255,-0.132539597,0.456194178,11.38902997,6.336734935,-21.01480317,8.821274361,1469.595478,-564.5605374,93.34878048,-0.438292103,-0.358609144,-0.824196284,,,,,,,,,,,,,,,,,0.890936005,0,,,medium,high,97.93914692,-34.59556239,54.66,Alex Stone,stoneal45,Duke
113,4/14/23,5:10:29 PM,5,4,Charlie Beilenson,beilech42,Right,Duke,Nick Wang,wang-ni42,Right,Boston college,,4,Bottom,1,2,1,Changeup,,BallCalled,,,,0,0,,83.74659116,-3.760035495,-3.238302646,,,,4.592498324,1.521984892,6,,,,-2.09937738,-1.490485733,77.56247245,-10.81543643,-3.238302646,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,5d8f7400-8d1f-4643-9d57-dcf38cb35948,83.87012461,4.587740159,1.521984892,-3.701561512,-3.238302646,77.66748452,-2.093828525,-1.490485733,-10.74340425,-3.238302646,0.455093485,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,low,,,54.66,Alex Stone,stoneal45,Duke
114,4/14/23,5:10:43 PM,5,5,Charlie Beilenson,beilech42,Right,Duke,Barry Walsh,walshba42,Right,Boston college,,4,Bottom,1,3,1,Fastball,,InPlay,,GroundBall,FieldersChoice,1,0,,93.20566179,-2.872883531,-2.193812295,2242.767721,218.0191628,1:15,4.809211354,1.624178775,6,-19.03222755,12.8812436,7.746096638,1.956661993,-0.533466952,85.56556953,-6.318081677,-1.759886055,0.409058339,98.44326814,-3.039357833,30.33934817,,,,,26.2119856,,31.04895781,0.171024935,-4.822707501,7.726816686,-1.450213945,50,4.56376296,4.920676038,-135.3787912,-7.464994917,-8.914621768,30.65112713,-17.89127415,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,bc7b3f8e-8de0-4d9f-a6b6-7658e984a1e1,93.38781192,4.808718271,1.627443816,-2.867381938,-2.233950648,85.72491871,1.957439488,-0.53617248,-6.305648071,-1.801114815,0.408924537,8.133864498,11.73485508,-36.27858661,66.62837626,1808.006028,-1327.072437,80.61494782,-0.635088428,-0.591711939,-0.496527612,49.65576078,84.84183933,-5.219651699,0.895788351,1.614601188,1.871083406,13.51936406,22.45651318,,,,,,,,,0.990386087,0,,54.12648235,high,high,30.03446137,-69.27198065,54.66,Alex Stone,stoneal45,Duke
115,4/14/23,5:11:26 PM,6,1,Charlie Beilenson,beilech42,Right,Duke,Barry Walsh,walshba42,Right,Boston college,,4,Bottom,2,0,0,Slider,,StrikeCalled,,,,0,0,,79.11068358,-0.869053786,-1.317076316,2688.874179,66.93741438,8:15,5.194059423,2.219221014,6,-46.92358171,-2.735465242,-14.35194573,2.567187696,-0.010437135,72.76041161,-7.777633197,-3.714060954,0.483281236,,,,,,,,,,,,7.679757648,-1.163172987,-2.103373012,50,5.095618181,3.076005727,-115.0141785,-3.119952492,10.14590536,24.06271015,-33.71074431,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,6381ecbc-1cd5-4627-a27a-b7b019553a88,79.20981178,5.184912308,2.217789791,-0.756615448,-1.29983384,72.82854506,2.574971147,-0.009211949,-7.659743957,-3.694870293,0.483175925,-14.49499681,-5.64290004,-51.61473137,36.2426365,1669.646358,-2107.682469,62.09462572,0.243247243,-0.78385314,0.571318679,,,,,,,,,,,,,,,,,0.993423247,0,,,high,high,57.38162715,58.3086795,54.66,Alex Stone,stoneal45,Duke
116,4/14/23,5:11:44 PM,6,2,Charlie Beilenson,beilech42,Right,Duke,Barry Walsh,walshba42,Right,Boston college,,4,Bottom,2,0,1,Slider,,StrikeCalled,,,,0,0,,81.00685887,0.405411442,-0.635874359,2546.549912,64.88612138,8:15,5.69967772,2.138719196,6,-45.94318703,-3.075247431,-13.42403907,2.247845383,0.429125055,73.94319034,-8.21211461,-3.170876229,0.471235313,,,,,,,,,,,,7.048939816,-1.785475734,-2.079184966,50,5.705907023,1.70455309,-117.828054,-0.524350439,9.801442196,24.67160737,-34.65672608,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,ed223617-6384-491a-a521-34eb0154b44d,81.11975114,5.690180851,2.137590692,0.518239545,-0.622854307,74.0131491,2.255391619,0.430177019,-8.09829854,-3.154404083,0.471136388,-13.54308092,-5.855764723,-52.22351919,42.55317524,1559.972286,-2012.809708,61.2582647,0.25999157,-0.790406541,0.554672771,,,,,,,,,,,,,,,,,0.988524007,0,,,medium,high,51.70214228,52.71664813,54.66,Alex Stone,stoneal45,Duke
117,4/14/23,5:12:00 PM,6,3,Charlie Beilenson,beilech42,Right,Duke,Barry Walsh,walshba42,Right,Boston college,,4,Bottom,2,0,2,Slider,,BallCalled,,,,0,0,,76.43184465,-1.742562898,-1.52883413,2865.087941,59.46713186,8:00,5.022202279,2.474775372,6,-54.30084754,-5.704542134,-17.09114782,1.763134234,1.259766693,71.47233428,-9.146212372,-2.958714636,0.487611431,,,,,,,,,,,,8.701767279,-3.47587513,-2.519786703,50,5.546455048,0.296636353,-114.0549105,-0.267777672,11.28888281,23.94018135,-36.6833344,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,75a116f0-8849-4592-9344-600f4cbf7b01,76.51106942,5.010991029,2.472445554,-1.605606242,-1.500643296,71.51950731,1.77222188,1.261672038,-9.00914288,-2.928989006,0.487523906,-17.34717453,-9.244319051,-42.90457865,60.03922582,2098.64395,-1950.492881,73.24884938,0.372128004,-0.680779411,0.630920076,,,,,,,,,,,,,,,,,0.993737072,0,,,high,high,35.96469676,78.98189759,54.66,Alex Stone,stoneal45,Duke
